level_id,id,theme_name,mascot,question,option_a,option_b,option_c,correct_answer,education_message
1,1,IPAS - Wujud Benda,Kompi,Es batu yang mencair termasuk perubahan wujud...,A. Fisika,B. Kimia,C. Biologi,A,Mencair adalah perubahan wujud fisika karena dapat kembali membeku.
1,2,IPAS - Wujud Benda,Kompi,Air mendidih yang berubah menjadi uap disebut...,A. Membeku,B. Menguap,C. Menyublim,B,Menguap adalah perubahan wujud dari zat cair menjadi gas.
1,3,IPAS - Wujud Benda,Kompi,Proses perubahan wujud dari gas menjadi cair disebut...,A. Mengembun,B. Mencair,C. Mengristal,A,Mengembun terjadi saat uap air mendingin menjadi titik-titik air.
1,4,IPAS - Wujud Benda,Kompi,Contoh benda yang dapat mengalami pemuaian saat dipanaskan adalah...,A. Rel kereta api,B. Batu kali,C. Kayu jati,A,Rel kereta api memuai saat panas sehingga diberi celah antar sambungan.
1,5,IPAS - Wujud Benda,Kompi,Minyak wangi yang dibiarkan terbuka lama-kelamaan akan habis karena...,A. Menguap,B. Membeku,C. Mencair,A,Zat cair minyak wangi menguap menjadi gas di udara terbuka.
2,1,Matematika - Bangun Datar,Kreati,Bangun datar yang memiliki 4 sisi sama panjang adalah...,A. Segitiga,B. Persegi,C. Lingkaran,B,Persegi memiliki 4 sisi yang sama panjang dan 4 sudut siku-siku.
2,2,Matematika - Bangun Datar,Kreati,Jumlah sudut pada bangun segitiga adalah...,A. 3,B. 4,C. 5,A,Segitiga memiliki tepat 3 sudut dan 3 titik sudut.
2,3,Matematika - Bangun Datar,Kreati,Rumus mencari luas persegi panjang adalah...,A. Panjang x Lebar,B. Sisi x Sisi,C. 1/2 x Alas x Tinggi,A,Luas persegi panjang dihitung dengan mengalikan panjang dan lebarnya.
2,4,Matematika - Bangun Datar,Kreati,Bangun datar yang tidak memiliki titik sudut adalah...,A. Lingkaran,B. Trapesium,C. Jajar genjang,A,Lingkaran hanya memiliki 1 sisi melengkung tanpa titik sudut.
2,5,Matematika - Bangun Datar,Kreati,Jika keliling persegi adalah 20 cm maka panjang sisinya adalah...,A. 4 cm,B. 5 cm,C. 6 cm,B,Panjang sisi persegi = Keliling dibagi 4 = 20 / 4 = 5 cm.
3,1,B. Indonesia - Kata Dasar,Kreati,Kata dasar dari kata "menanam" adalah...,A. Nanam,B. Tanam,C. Atam,B,Kata dasar tanam mendapat imbuhan me- menjadi menanam.
3,2,B. Indonesia - Kata Dasar,Kreati,Kalimat yang berisi perintah atau ajakan disebut kalimat...,A. Tanya,B. Berita,C. Perintah,C,Kalimat perintah ditujukan untuk meminta seseorang melakukan sesuatu.
3,3,B. Indonesia - Kata Dasar,Kreati,Sinonim atau persamaan kata dari "pintar" adalah...,A. Pandai,B. Malas,C. Lemah,A,Pandai memiliki arti yang sama dengan pintar.
3,4,B. Indonesia - Kata Dasar,Kreati,Tanda baca yang digunakan di akhir kalimat berita adalah...,A. Tanda titik (.),B. Tanda tanya (?),C. Tanda seru (!),A,Setiap kalimat berita diakhiri dengan tanda titik.
3,5,B. Indonesia - Kata Dasar,Kreati,Lawan kata (antonim) dari kata "hemat" adalah...,A. Boros,B. Cermat,C. Teliti,A,Boros adalah kebalikan dari sikap hemat.
4,1,PKn - Simbol Pancasila,Gizi,Gambar Pohon Beringin merupakan simbol Pancasila sila ke...,A. Sila ke-2,B. Sila ke-3,C. Sila ke-4,B,Pohon beringin melambangkan Persatuan Indonesia pada Sila ke-3.
4,2,PKn - Simbol Pancasila,Gizi,Semboyan bangsa Indonesia "Bhinneka Tunggal Ika" artinya...,A. Berbeda-beda tetap satu jua,B. Bersatu kita teguh bercerai kita runtuh,C. Bersama membangun bangsa,A,Bhinneka Tunggal Ika berarti berbeda-beda tetapi tetap satu jua.
4,3,PKn - Simbol Pancasila,Gizi,Simbol rantai emas pada lambang Garuda Pancasila melambangkan sila ke...,A. Sila ke-1,B. Sila ke-2,C. Sila ke-3,B,Rantai emas melambangkan Kemanusiaan yang Adil dan Beradab (Sila ke-2).
4,4,PKn - Simbol Pancasila,Gizi,Sikap menolong teman yang kesusahan sesuai dengan pengamalan Pancasila sila ke...,A. Sila ke-2,B. Sila ke-1,C. Sila ke-5,A,Menolong sesama manusia adalah bentuk pengamalan Sila ke-2.
4,5,PKn - Simbol Pancasila,Gizi,Musyawarah untuk mufakat merupakan pengamalan Pancasila sila ke...,A. Sila ke-3,B. Sila ke-4,C. Sila ke-5,B,Musyawarah untuk mufakat adalah inti dari Sila ke-4.
